40	一閃突き	1	256	0
41	払い斬り	1	512	0
42	直下突き	1	1024	0
43	刀牙昇斬	1	2048	0
44	円月斬	1	4096	0
45	天蓋斬り	1	8192	0
46	ワタえぐり	1	16384	0
47	逸らし斬り	1	32768	0
48	岩体術	1	65536	0
49	蜂舞斬	1	131072	0
50	滅衝陣	1	262144	0
51	魔撃砲	1	524288	0
52	魔吸陣	1	1048576	0
53	空魔突	1	2097152	0
54	魔石柱	1	4194304	0
55	弐段突き	1	8388608	0
56	風車斬り	1	16777216	0
57	爆炎線	1	33554432	0
58	えぐり突き	1	67108864	0
59	無心斬	1	134217728	0

100	突き上げ斬り	3	16	1
101	柄打ち	3	32	1
102	魔人突き	3	64	1
103	かわし斬り	3	128	1
104	魔人斬り	3	256	1
105	空舞の刀身	3	512	1
106	大輪斬	3	1024	1
107	恨斬	3	2048	1
108	獣惹き	3	4096	1
109	退魔剣聖斬	3	8192	1

150	かまいたち	4	4194304	2
151	アギト裂き	4	8388608	2
152	百裂斬り	4	16777216	2
153	眩ませ縛り	4	33554432	2
154	疾走	4	67108864	2
155	断頭台	4	134217728	2
156	引き寄せ	4	268435456	2
157	盗術	4	536870912	2
158	構え直し	4	1073741824	2
159	蹴り踏み	4	2147483648	2
160	昇炎斬り	5	1	2
161	影縫い	5	2	2
162	魔斬波	5	4	2
163	魔導護身陣	5	8	2
164	風まとい	5	16	2
165	返し蹴り	5	32	2
166	毒針突	5	64	2
167	火炎衣	5	128	2
168	姿隠し	5	256	2
169	流し暗殺	5	512	2

210	ファイアボール	6	262144	3
211	フリージングゾーン	6	524288	3
212	サンダーレイン	6	1048576	3
213	フレイムウォール	6	2097152	3
214	フロストスパイク	6	4194304	3
215	サンダーウィップ	6	8388608	3
216	バインドアンカー	6	16777216	3
217	ステイルネスウォーク	6	33554432	3
218	ブラインドウォーク	6	67108864	3
219	スロースポット	6	134217728	3
220	ヒーリングスポット	6	268435456	3
221	キュアスポット	6	536870912	3
222	ファイアギフト	6	1073741824	3
223	アイスギフト	6	2147483648	3
224	サンダーギフト	7	1	3
225	ホーリーギフト	7	2	3
226	ダークネスギフト	7	4	3
227	メテオフォール	7	8	3
228	ブリザードアロー	7	16	3
229	サンダーケージ	7	32	3
230	ロックビート	7	64	3
231	ヴォルテクスレイジ	7	128	3
232	インスタントキリング	7	256	3
233	ペトリファクション	7	512	3
234	ポイズンスワンプ	7	1024	3
235	スポイルゾーン	7	2048	3
236	サイレンズウォーク	7	4096	3
237	ディセーブルミスト	7	8192	3
238	マジックシェード	7	16384	3
239	コーリングソウル	7	32768	3

270	シールドアタック	8	16384	4
271	空舞の盾	8	32768	4
272	盾惹き	8	65536	4
273	シールドバッシュ	8	131072	4
274	センチュリオンスパイク	8	262144	4
275	マーズソウル	8	524288	4
276	チャリオットムーブ	8	1048576	4
277	イカロスカタパルト	8	2097152	4
278	威武気	8	4194304	4

310	ファイアガード	9	4194304	5
311	アイスガード	9	8388608	5
312	サンダーガード	9	16777216	5
313	ホーリーガード	9	33554432	5
314	ダークネスガード	9	67108864	5
315	ファイアエンチャント	9	134217728	5
316	アイスエンチャント	9	268435456	5
317	サンダーエンチャント	9	536870912	5
318	ホーリーエンチャント	9	1073741824	5
319	ダークネスエンチャント	9	2147483648	5
320	ゾーンオブザゴッド	10	1	5
321	アビスペイン	10	2	5
322	セントウォール	10	4	5
323	アビスアンガー	10	8	5
324	セントグレイス	10	16	5

350	連なり射ち	10	1073741824	6
351	扇射ち	10	2147483648	6
352	剛力射ち	11	1	6
353	降らし射ち	11	2	6
354	爆ぜ射ち	11	4	6
355	矢笛射ち	11	8	6
356	しじま射ち	11	16	6
357	貫き射ち	11	32	6
358	仕込み痺れ矢	11	64	6

359	連魔弾	11	128	7
360	追魔弾	11	256	7
361	爆散魔鋲	11	512	7
362	跳弾魔従	11	1024	7
363	閃魔光	11	2048	7
364	吸魔痕	11	4096	7
365	帯魔防	11	8192	7
366	帯魔剛	11	16384	7
367	挺身魔槍	11	32768	7

400	綴れ射ち	12	65536	8
401	鳳凰射ち	12	131072	8
402	とどめ射ち	12	262144	8
403	壁刺し射ち	12	524288	8
404	仕込み軟体矢	12	1048576	8
405	仕込み爆音矢	12	2097152	8
406	流星射ち	12	4194304	8
407	渦巻き射ち	12	8388608	8
408	全霊弓	12	16777216	8

	強連撃	0	1073741824	-1
	強刺し崩し	0	2147483648	-1
	回り受け身	1	1	-1
	広角斬	2	67108864	-1
	大抜き	2	134217728	-1
	回り受け身	2	33554432	-1
	連斬撃	4	4096	-1
	衝斬舞	4	8192	-1
	弐段跳躍	4	16384	-1
	転身	4	32768	-1
	コレクトショット	6	256	-1
	マジックビット	6	512	-1
	フローティング	6	1024	-1
	盾弾き	8	16	-1
	シールドカウンター	9	4096	-1
	早弓射ち	10	1048576	-1
	早弓射ち	12	64	-1
	強追魔弓	10	2097152	-1



